出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
91002,76144,486,106,NULL,NULL,210,202
91002,10524093,3850,725,NULL,NULL,2008,1618
91002,24591219,5673,738,NULL,NULL,4109,3430
91002,80473,6519,928,NULL,NULL,3639,2962
91002,10524119,1750,466,NULL,NULL,672,577
91002,28408248,32481,1931,NULL,NULL,29387,22427
91002,52075446,73150,3951,NULL,NULL,63839,47889
91002,75615,3888,724,NULL,NULL,2141,1720
91002,75624,43670,3561,NULL,NULL,37613,28687
91002,75611,3969,573,NULL,NULL,1925,1585
91002,75627,6208,867,NULL,NULL,3317,2733
91002,13412802,33789,2197,NULL,NULL,29572,22568
86058,91002,4480,794,NULL,NULL,4050,3402
86058,76790,6900,999,NULL,NULL,4786,4234
86058,80719,8673,1383,NULL,NULL,8178,6601
86058,55916162,24546,1842,NULL,NULL,14417,12117
86058,81728,17315,1723,NULL,NULL,16172,13864
86058,29950533,29851,2126,NULL,NULL,25979,19871
86058,10559194,36945,3121,NULL,NULL,35989,28130
86058,76144,4309,634,NULL,NULL,4214,3565
86058,10524093,4918,640,NULL,NULL,2911,2035
86058,24591219,919,266,NULL,NULL,527,396
86058,80473,1620,544,NULL,NULL,1158,915
86058,10524119,4572,784,NULL,NULL,3540,2990
86058,28408248,27404,1741,NULL,NULL,26449,20199
86058,52075446,67789,3721,NULL,NULL,61772,46375
86058,75615,5239,712,NULL,NULL,3012,2113
86058,75624,38737,3420,NULL,NULL,35550,27161
86058,75611,3993,716,NULL,NULL,2196,1790
86058,75627,2241,510,NULL,NULL,919,751
86058,13412802,27917,2006,NULL,NULL,25963,19844
81012,18315111,13377,1576,NULL,NULL,8126,6226
81012,85138,13939,1136,NULL,NULL,9568,7310
81012,22950688,13797,1469,NULL,NULL,8178,6336
81012,10524207,9037,1721,NULL,NULL,7370,5642
81012,13452352,16227,1367,NULL,NULL,10294,7919
81012,10758523,11247,1600,NULL,NULL,9671,7437
81012,22950750,15411,1183,NULL,NULL,9293,7129
81012,81015,16474,1470,NULL,NULL,10228,7937
81012,85137,16250,1456,NULL,NULL,8395,6447
81012,82412,14068,1232,NULL,NULL,7543,5764
81012,81014,6376,911,NULL,NULL,7762,5831
81012,31690295,14990,1348,NULL,NULL,8692,6737
81012,85129,10946,1495,NULL,NULL,9413,7246
81012,30650987,6376,911,NULL,NULL,7908,5962
81012,10524250,8734,1646,NULL,NULL,7735,5960
81012,10558946,13560,1408,NULL,NULL,8044,6158
81012,22950745,15086,1395,NULL,NULL,10388,7881
81012,10524206,13024,1299,NULL,NULL,7817,5955
81012,85082,7077,928,NULL,NULL,7994,6030
85082,18315111,9864,1321,NULL,NULL,7721,5971
85082,85138,10468,856,NULL,NULL,9872,7731
85082,22950688,10325,1186,NULL,NULL,7478,5833
85082,10524207,9295,1372,NULL,NULL,7220,5612
85082,13452352,12756,1091,NULL,NULL,9269,7250
85082,10758523,9263,1542,NULL,NULL,8531,6670
85082,22950750,11939,905,NULL,NULL,10487,8113
85082,81015,13003,1188,NULL,NULL,9528,7434
85082,85137,12778,1175,NULL,NULL,9608,7423
85082,82412,10596,953,NULL,NULL,9060,6857
85082,81014,378,138,NULL,NULL,347,259
85082,31690295,11519,1069,NULL,NULL,7992,6234
85082,85129,13114,1194,NULL,NULL,8713,6743
85082,30650987,378,138,NULL,NULL,247,192
85082,10524250,11802,1107,NULL,NULL,9371,7161
85082,10558946,10088,1131,NULL,NULL,7639,5903
85082,22950745,11615,1129,NULL,NULL,10806,8375
85082,10524206,9552,1025,NULL,NULL,7564,5894
85082,81012,6084,644,NULL,NULL,7991,5981
10524206,18315111,650,205,NULL,NULL,513,386
10524206,85138,3754,472,NULL,NULL,2800,2191
10524206,22950688,899,238,NULL,NULL,795,611
10524206,10524207,349,141,NULL,NULL,417,330
10524206,13452352,3406,725,NULL,NULL,3580,2748
10524206,10758523,3623,859,NULL,NULL,2957,2266
10524206,22950750,5327,510,NULL,NULL,4238,3245
10524206,81015,3715,775,NULL,NULL,3181,2472
10524206,85137,6166,780,NULL,NULL,3671,2873
10524206,82412,3984,559,NULL,NULL,3733,2905
10524206,81014,8741,1477,NULL,NULL,7333,5668
10524206,31690295,1940,577,NULL,NULL,1261,958
10524206,85129,3222,736,NULL,NULL,2699,2075
10524206,30650987,8741,1476,NULL,NULL,7479,5800
10524206,10524250,6586,849,NULL,NULL,4424,3453
